Id;Nm_Grp;Id_Cty
1167;Kudelski Group;29
1168;Kuehne And Nagel;29
1169;Kulczyk Investment House;20
1170;Kungliga Tekniska Hogskolan;9
1171;Kuntarahoitus;8
1172;Kuoni;10
1173;Kuwait Finance House;30
1174;Kuwait Petroleum;30
1175;Kvaser;20
1176;Kwh Pipe;9
1177;Kylemore;30
1178;Kyphon;9
1179;Labozeta;9
1180;Ladbroke;9
1181;Lafarge;9
1182;Laiki;2
1183;Lalux;9
1184;Lancyr;1
1185;Landesbank;20
1186;Landis   Gyr Technology Innova;29
1187;Landsecurities;30
1188;Landstinget;20
1189;Lanxess;10
1190;La Poste;1
1191;Larive;10
1192;Lattelekom;15
1193;Latvian Mobile Telephone Ltd;9
1194;Lavipharm;14
1195;London Business School;10
1196;Lcp;30
1197;Leading Edge;15
1198;Leciva;9
1199;Lectra;10
1200;Lederne;9
1201;Lego;9
1202;Lei;20
1203;Leica;10
1204;Leiden University;10
1205;Leiras;29
1206;Lek;1
1207;Lekkerland;2
1208;Lemminkainen;30
1209;Lenz & Staehelin;10
1210;Leo Burnett;30
1211;Leo Impact;30
1212;Leonidas;15
1213;Leo Pharmaceutical Products Sa;30
1214;Leroy Merlin;14
1215;Unilever Home   Personal Care;30
1216;Levis Strauss;2
1217;Lexmark;9
1218;Lg Electronics;10
1219;Lhoist;2
1220;Liberty Global;20
1221;Liebert Hiross;30
1222;Eli Lilly;30
1223;Linde;10
1224;Lindt & Spruengli;29
1225;Linette;10
1226;Lingsoft;9
1227;Linkage Incorporated;30
1228;Linklaters;9
1229;Linpac;9
1230;Lisboa Congressos;29
1231;Littlewoods Home Shopping Grp;9
1232;Ljubljanske Mlekarne;1
1233;Lloyds Tsb Group;30
1234;Lms Lenz Management Services;10
1235;Lms International;9
1236;Lockheed Martin;20
1237;Loders Croklaan;29
1238;Logica Consulting;30
1239;Logitech Europe Sa;29
1240;Lombard International Assuranc;10
1241;London Transport;15
1242;Lonza;10
1243;L'Oreal;10
1244;Lostr As;20
1245;Lot - Polish Airlines;10
1246;Grupa Lotos Sa;20
1247;Lsi Logic;29
1248;Lubri;10
1249;Lucas Varity Plc;14
1250;Lucent;20
1251;Lufthansa;10
1252;Lukoil;30
1253;Lundbeck;6
1254;Lux Development;15
1255;Louis Vuitton Moet Hennessy;9
1256;Tetley Int'L;10
1257;M&A Group;10
1258;M A Abudawood & Partners For I;10
1259;Maaf;1
1260;Machinefabriek;9
1261;Mach Multinational;20
1262;Maersk Med;10
1263;Magnesium Electron;30
1264;Magotteaux;15
1265;Mahou - San Miguel;10
1266;Maitland;17
1267;Makedontele;20
1268;Makers;30
1269;Mallinckrodt;14
1270;Mandarin Oriental Group;10
1271;Manpower;30
1272;Mansour;20
1273;Manx Telecom;10
1274;Marconi Sgps Comunicacoes Lda;30
1275;Marel Hf;9
1276;Marionnaud Parfumeries;10
1277;Marken;10
1278;Marks & Spencer Plc;30
1279;Marquard & Bahls;10
1280;Marriott;9
1281;Mars;30
1282;Martell   Cie Sa;9
1283;Martin'S;17
1284;Martir And Partners;9
1285;Maspex;10
1286;Mastercard;2
1287;Matav;9
1288;Matheson Ormsby;9
1289;Mathys Medical Ltd;29
1290;Matthew Clark;15
1291;Maxxium;29
1292;Mazda;1
1293;Mcafee;30
1294;Mcbride;1
1295;Mcc;10
1296;Mccann Ericson;2
1297;Mcdonald'S;2
1298;Mce;30
1299;Mch Haaglanden;10
1300;Mckinsey   Company Inc;17
1301;Mcvities;9
1302;Mds Nordion Europe Sa;20
1303;Meaney Mcconnell;20
1304;Tillots Pharma;30
1305;Medi;10
1306;Media Total;9
1307;Mediglobe;9
1308;Mediolanum;2
1309;Medisize;10
1310;Medivir;30
1311;Medtronic;29
1312;Megafon;10
1313;Mellon Group;30
1314;Menarini Group;15
1315;Menlo Worldwide;20
1316;Mepha Ag;29
1317;Marion Merrell Dow Ltd;30
1318;Mera Nn;9
1319;Mercantile;9
1320;Mercer;9
1321;Merck;29
1322;Mercuri Urval;9
1323;Mercury;20
1324;Merial;30
1325;Merivaara;15
1326;Merkur;2
1327;Merz Pharma;29
1328;Messer Cutting & Welding;14
1329;Messer Uk Ltd;9
1330;Metalogenia;27
1331;Metaux Precieux Sa Metalor;30
1332;Metro;10
1333;Metropolitano De Lisboa Ep;9
1334;Metropolitan Express Train;10
1335;Metso;8
1336;Mettler-Toledo Ag Process;30
1337;Mexx;10
1338;Mgb Endoskopische;15
1339;Michelin;10
1340;Michelman Int'L;30
1341;Michels Gmbh;9
1342;Microcomponents;29
1343;Microgen;29
1344;Micromet;17
1345;Micron Holding;15
1346;Microsoft;10
1347;Microtec Gmbh;30
1348;Middle Sea House;9
1349;Millennium Investment;10
1350;Miller Distributors;15
1351;Millicom International Cellula;14
1352;Milliken & Company;29
1353;Millipore Sa;9
1354;Mima;10
1355;Irdeto Access;20
1356;Minerva Sa Edible Oils;11
1357;Mitsubishi;2
1358;Mmc;10
1359;Mmm Business Media;2
1360;Mobifon;24
1361;Mobile Telecommunications Co;10
1362;Mobilkom Austria Group;4
1363;Mobiltel;9
1364;Mobimak A D;30
1365;Mobistar;20
1366;Mobitel;10
1367;Mol;20
1368;Mol Europe;20
1369;Molex;20
1370;Mol Hungary;30
1371;Msf Moniz Da Maia;10
1372;Monsanto;2
1373;Morgan Crucible;9
1374;Morphosys Ag;10
1375;Mobiltel Ead;10
1376;Motley Fool;10
1377;Motorola;10
1378;Motorpal As;29
1379;Mowe;17
1380;M-Real;8
1381;Merck Msd;30
1382;Msf;10
1383;Mtc;20
1384;Mtn;29
1385;Mundi Pharma;2
1386;Mundial Confianca;29
1387;Munichre;10
1388;Music Choice Ltd;30
1389;Mv;30
1390;Nalco;9
1391;Nam Ned'L Aardolie Mij Bv;10
1392;Nam National Agency For Medici;30
1393;Nammo;21
1394;Nat'L Bank Of Abu Dhabi;9
1395;National Bank Belarus;30
1396;Nat'L Bank Of Egypt;1
1397;Nat'L Bank Of Kuwait;30
1398;Nat'L Bank Of Oman;30
1399;Nat'L Bank Of Serbia;15
1400;Nateus Assurance;14
1401;Natexis Banques;9
1402;National Water Council;14
1403;Nationwide Building Society;1
1404;The Nat'L Grid Company Plc;10
1405;Nat'L Power Plc;10
1406;Nat'L Semiconductor;29
1407;Nato;10
1408;The National Shipping Company ;9
1409;Nat'L University Of Ireland;14
1410;Natwest;9
1411; Nav  Portugal;9
1412;Navision;2
1413;Ncc;28
1414;Ncci;17
1415;Ncm;10
1416;Ncr;9
1417;Nec;10
1418;Neckelmann;15
1419;De Nederlansche Bank;20
1420;Nedlloyd;1
1421;Neoventa Medical;9
1422;Neste Chemicals;1
1423;Nestle;29
1424;Netas;9
1425;Neth Govt;10
1426;Netqos;15
1427;Network Associates Inc.;20
1428;Neumayer Tekfor;10
1429;New Medic;30
1430;News Outdoor;30
1431;Newtoninno;20
1432;Nexstar;10
1433;Nexter;9
1434;Netherlands Finance Authority;14
1435;Exel Logistics;29
1436;Norwegian Gas Carriers;15
1437;Nibc;29
1438;Nicols;29
1439;Nidek Medical Products;30
1440;Nigeria Lng Ltd;30
1441;Nike;20
1442;Nissan;9
1443;Nitto Euopr;2
1444;Nizo Food Research;10
1445;Nokia;8
1446;Nokian Tyres;20
1447;Nomura;30
1448;Norasia Services Sa;9
1449;Norauto;10
1450;Nordea Bank;10
1451;Maxemballsa;9
1452;Nordkalk;20
1453;Nordson European Distribution;30
1454;Norfolkline;17
1455;Norgine;30
1456;Norkom;9
1457;Den Norske Bank;10
1458;Norske Skog;21
1459;Norsk Hydro;21
1460;Nortel;10
1461;Northumbrian Water;10
1462;Northwest Water;10
1463;Norton S A;10
1464;Norwich Union;10
1465;News Outdoor Marketing Russia;30
1466;Nova Bank;20
1467;Nova Chemicals;10
1468;Nova Ljubljanska Bank;9
1469;Novartis;10
1470;Novell Nederland Bv;20
1471;Novo Nordisk;9
1472;Nuclear Electric Plc;10
1473;Nucletron;20
1474;Numico Cee;30
1475;Nuon Nv;15
1476;Nur Media Solutions;2
1477;Nutreco;10
1478;Nutricia Research;20
1479;Nxp Semiconductors;20
1480;National Youth Agency;9
1481;Nycomed;6
1482;Nykredit;20
1483;Nynas;28
1484;Oami;27
1485;Oce;20
1486;Octapharma Ag;29
1487;Odyssey;15
1488;Olavthon;29
1489;Oldmutual;2
1490;Olivetti Group;9
1491;Olympus;10
1492;Oman Lng;10
1493;Oman Telecommunications Cy;30
1494;Omega Pharma;30
1495;Omnia Holding;17
1496;Omnicare Chemicals;30
1497;Omnichem;14
1498;Omron;10
1499;Odette Benelux;10
1500;Omv;1
1501;Omx Group;10
1502;On Air;30
1503;Onduline;30
1504;Onex Corporation;14
1505;On Semiconductors;9
1506;Onvest;9
1507;Opec;1
1508;Open Mind Technologies;30
1509;Opentext;20
1510;Oracle;10
1511;Orange;29
1512;Orascom;9
1513;Orbis;17
1514;Orbotech;2
1515;Oresundskonsortiet;9
1516;Organon;9
1517;Oriflame;9
1518;Origin;10
1519;Orion Farmos Pharmaceuticals;8
1520;Orkla Group;10
1521;Orlen;9
1522;Ormazabal;29
1523;Ormit International Management;20
1524;Orrick;29
1525;Osce;1
1526;Oskar;5
1527;Ossur;13
1528;Ote Group;11
1529;Oticon;14
1530;Zardoya Otis Sa;27
1531;Otsuka Pharma;20
1532;Otto Bock;10
1533;Ottoman Bank;29
1534;Outokumpu;8
1535;Ovita;10
1536;Oxford Instruments;10
1537;Pa Consulting Group;29
1538;Pajunk;20
1539;Pall Corporation;30
1540;Panalpina;2
1541;Panasonic;30
1542;Pannon;10
1543;Pantex;30
1544;Parexel International Corporat;10
1545;Paroc Group;8
1546;Partners In Lighting;20
1547;Pasteur Merieux Msd;30
1548;Paul Hartmann;29
1549;Oy Gustav Paulig Ab;15
1550;Petroleum Development Omar;30
1551;Pdv;9
1552;Pearle;29
1553;Pearson;29
1554;Pechiney;10
1555;Pedigree Petfoods Ltd;10
1556;Pentax;20
1557;Pepperl & Fuchs;29
1558;Dr Pepper Snapple Group;30
1559;Pepsico;30
1560;Perkin-Elmer Nederland Bv;15
1561;Perkins Technology Ltd;10
1562;Perlos;8
1563;Pernod Ricard;9
1564;Perstop;28
1565;Petercam;29
1566;Petroleos De Portugal Sa Petro;29
1567;Petrol Ljubljana;10
1568;Petrorabigh;29
1569;Petzetakis;11
1570;Peugeot Citroen;15
1571;Pfizer;10
1572;Polska Grupa Farmaceutyczna;10
1573;Pgi;9
1574;Phadia;9
1575;Pharmapartners;20
1576;Philip Morris;29
1577;Philips;20
1578;Phillips Petroleum Company;30
1579;Phillips Pet;10
1580;Phonak;9
1581;Photo Me;30
1582;Pias;30
1583;Picanol;15
1584;Pierre Fabre;9
1585;Pilkington;9
1586;Pilsner Urquell;30
1587;Pingo Doce Distribuic Aliment;30
1588;Pioneer;9
1589;Piraeus Bank;10
1590;Pki Ag Philips Kommunikations;20
1591;Pkn Orlen;22
1592;Planeta;30
1593;Plan International;10
1594;Planmeca;15
1595;Planon;30
1596;Plansee;1
1597;Playtex;30
1598;Pliva;4
1599;P&O;15
1600;Podravka;4
1601;Pohjola;9
1602;Point Carbon;15
1603;Ceska Pojistovna;9
1604;Polimoon;30
1605;Polski Koncern Nafwyczn;15
1606;Polkomtel;22
1607;Polpharma Warszawa Sp Z O O;22
1608;Telewizja Polsat;20
1609;Poly-Clip System;10
1610;Polymer Group Inc;15
1611;Polynorm;20
1612;Polytec;30
1613;Porsche;10
1614;Portugal Telecom;23
1615;Portucel Industrial;30
1616;Post Danmark;30
1617;Post Office;10
1618;Powergen Plc;2
1619;Ppc;20
1620;Ppg Industries;9
1621;Pinault Printemps Redoute;9
1622;Pra;29
1623;Praxair;9
1624;Preh;2
1625;Premier Farnell;9
1626;Premier Paper;9
1627;Press Clipping;9
1628;Pricewater House Coopers;30
1629;Ab Pripps Bryggerier;15
1630;Pristop;30
1631;Probanka;9
1632;Prochazka Randl Kubr & Partner;1
1633;Procon Solutions;30
1634;Procter And Gamble;29
1635;Produca Bv;17
1636;Profirst Intl;10
1637;Progress Software;29
1638;Project2 Nv;2
1639;Projek Styrning;30
1640;Prologis;15
1641;Promedia;9
1642;Progressive Recruitment Specia;10
1643;Alexander Proudfoot Internatio;29
1644;Provimi;30
1645;Proxiserve;30
1646;The Prudential Assurance Co;20
1647;Polskie Sieci Elektroenergetyc;9
1648;Psi Electronics;29
1649;Publicis;9
1650;Public Petroleum Corp;10
1651;Punch;2
1652;Purator;15
1653;Sa Puratos Nv;2
1654;Pz Cussons Polska Sa;15
1655;Polski Zaklad Ubezpieczen;20
1656;Qad;9
1657;Qafco Qatar Fertiliser Co;29
1658;Qatar General Electricity & Wa;9
1659;Qatar Pertochemical;30
1660;Qatar Steel Company;20
1661;Qbe Intl;30
1662;Qgpc Qatar General Petroleum C;10
1663;Qatar Telecom (Q0Tel);10
1664;Quaker Chiari   Forti;15
1665;Quantum Chemical;20
1666;Quantum Peripheral;30
1667;Quelle;1
1668;Quest;29
1669;Quintiles;30
1670;Raab Karcher Energy Service;1
1671;Raba;20
1672;Rabobank;20
1673;Rackspace;29
1674;Radio Korasidis;20
1675;Radisson Sas;9
1676;Raffinerie Tirlemontoise Sa;9
1677;Raision Plc;8
1678;Ralston;15
1679;Ram;10
1680;Ramboll;30
1681;Ranbaxy;20
1682;Randstad;10
1683;Rayovac;30
1684;Raytheon Training Int'L Gmbh;10
1685;Rci;10
1686;Read;30
1687;Real Software;9
1688;Recordati;20
1689;Recticel;15
1690;Red Bull;10
1691;Red Cross;29
1692;Redevco;30
1693;Reebok;9
1694;Reed Business;20
1695;Reed Elsevier;10
1696;Refresco Holding;15
1697;Reichhold;9
1698;Remondis;10
1699;Remu;17
1700;Remy Cointreau;20
1701;Renault;9
1702;Repsol;30
1703;Respironics;2
1704;Rettig;8
1705;Reuters;30
1706;Rewe Group;30
1707;Rexam;30
1708;Reykjavik University;13
1709;Rezidor;2
1710;Rferl;5
1711;Rhodia;9
1712;Richmond Events;30
1713;Ricoh;10
1714;Rieter;29
1715;Rio Tinto;30
1716;Rjr Nabisco;14
1717;Robeco;20
1718;Robert Bosch;9
1719;Robert Half Int Inc;30
1720;Hoffmann La Roche;29
1721;Rockwell;2
1722;Rockwool International;10
1723;Rohde & Schwarz;10
1724;Rohm & Haas;9
1725;Roland Berger;14
1726;Rolls Royce;10
1727;Rom Telecom;9
1728;Rover;9
1729;Roxar;30
1730;Royal Bank Of Scotland;30
1731;Royal Bank Of Canada;9
1732;Royal Doulton;9
1733;Royal Insurance;30
1734;Royal Sun Alliance;10
1735;Rr Donnelley;1
1736;Rsc;20
1737;Rubbermaid;15
1738;Rusal Group;30
1739;Ruuki;8
1740;Rwe;10
1741;Memphis Hotel Amsterdam;20
1742;Rzb Raiffeisen Zentralbank;15
1743;Saudi Arabian Airlines;15
1744;Saab;9
1745;Saudi Arabian Monetary Agency;20
1746;Banco De Sabadell;30
1747;Sabic Services Ltd;9
1748;Safcor Panalpina;15
1749;Safeway Plc;30
1750;Saga Petroleum;14
1751;Sage Group;2
1752;Saint Gobain;9
1753;Sales Academy;30
1754;Salomon;9
1755;Sampo Group;1
1756;Samskip;10
1757;Samsonite;9
1758;Samsung Group;9
1759;Sandvik;30
1760;Sanitas;9
1761;Sanofi Pasteur Msd;29
1762;Sanofi Aventis;9
1763;Sanoma;15
1764;Sanpaolo;29
1765;Saudiarabian Oil Company;9
1766;Sap;10
1767;Saphad-Saudi Pharm Distributio;29
1768;Sappi;2
1769;Sara Lee Corporation;30
1770;Saratoga;1
1771;Sarna;9
1772;Sarnafil Int'L;10
1773;Sas Scandinavian Airlines Syst;9
1774;Sas Institute;10
1775;Sat Gmbh;30
1776;Scientific Atlanta;2
1777;Saudi American Bank;30
1778;Saudi Hollandi Bank;9
1779;Saudi Industrial Development F;29
1780;Saudi Methanol Co Ar0Razi;15
1781;Saudi Telecom;9
1782;Savola Company;9
1783;S&B Industrial;11
1784;Sbm Single Buoy Moorings Inc;19
1785;Sca;28
1786;Scania;15
1787;Scansource;30
1788;Scandinavian Tobacco;10
1789;Bankhaus Schelhammer & Schatt;10
1790;Schenk;9
1791;Schenker;10
1792;Schering Ag;9
1793;Schering Plough;29
1794;Schindler;29
1795;Schlumberger;9
1796;Schneider;9
1797;Schoellerarca;28
1798;Scholle;9
1799;Schott;10
1800;Schwarz;20
1801;Schwarz Group;10
1802;Scitex;9
1803;Sc Johnson;30
1804;Scottish Enterprise;9
1805;Scottish & Newcastle;2
1806;Scottish Power Plc;20
1807;Sct Supreme Commission For T;30
1808;Seagate Technology Int'L;20
1809;Seagram;10
1810;Seaquist;9
1811;Seat Sa;20
1812;Skandinaviska Enskilda Banken;9
1813;Secil Cia De Cal E Cimento Sa;23
1814;Securitas;9
1815;Seda;30
1816;Sedgwick;9
1817;Seeda;30
1818;Seguros Imperio;10
1819;Selecta;10
1820;Sengenwald;10
1821;Sensormatic;9
1822;Sepi;27
1823;Serco;2
1824;Servier;20
1825;Severomoraska Energetica;5
1826;Sevgap;10
1827;Sfr;30
1828;Sgl;2
1829;Societe Generale De Surveillan;29
1830;Sharp;29
1831;Shell;30
1832;Shelman Sa Swiss Hellenic;10
1833;Shire;30
1834;Shook;10
1835;Short Brothers Plc;30
1836;Showcase;14
1837;Sicpa;29
1838;Siegfried Ltd;29
1839;Siemens;10
1840;Sifco;30
1841;Sigma Aldrich;30
1842;Sigma Coatings;20
1843;Sigma Tau;15
1844;Silf Competence;30
1845;Silicon Graphics;29
1846;Singapore Air;30
1847;Sipchem;30
1848;Sisu Defence Oy;30
1849;Sita;29
1850;Sj;9
1851;Sjova;13
1852;Skandia;20
1853;Skb;14
1854;Skc Europe Gmbh;30
1855;Skf;28
1856;Skoda;30
1857;Slovak;29
1858;Slovakofarma;30
1859;Smith & Nephew;2
1860;Smiths;14
1861;Smurfit Kappa Group;10
1862;Sn Air Holding;2
1863;Sn Brussels Airlines;10
1864;Snecma;9
1865;Snell And Willcox;30
1866;Den Sociale Ankestyrelse;30
1867;The Social Development Office;30
1868;Social Fund For Development;9
1869;Soc Generale;9
1870;Sodexho;9
1871;Sokos;9
1872;Sola;9
1873;Solon Management Consulting Gm;10
1874;Solutia;2
1875;Solvay;10
1876;Somera;9
1877;Somincor;10
1878;Sonae Sgps Sa;23
1879;Sonat;9
1880;Sonneveld;14
1881;Sonoco;2
1882;Sonotron;20
1883;Sony;10
1884;Sony Ericsson;30
1885;Sorefi;29
1886;Sorin Biomedica Cardio Srl;15
1887;Southco;30
1888;Spadel;2
1889;Spar;30
1890;Spectro Analytical Instruments;30
1891;Spectrum Brands;30
1892;Spencer Stuart;9
1893;Spimaco;30
1894;Spirent;30
1895;Ceska Sporitelna;30
1896;Springer;10
1897;Spring Messe Management;30
1898;Spx;30
1899;Squire, Sanders & Dempsey;14
1900;Sram;20
1901;Ssc;9
1902;Stafoord Miller;2
1903;Stallergenes;1
1904;Standard;30
1905;Standard Chartered Bank;29
1906;Stanley;30
1907;Starwood Hotels And Resorts Wo;2
1908;State Street;30
1909;Statnett/The Norwegian Power G;30
1910;Statoil;21
1911;Stedim Sa;9
1912;Steelcase;14
1913;Stelmar Shipping Ltd;29
1914;Sterling Health;15
1915;St Gobain;10
1916;St Jude;2
1917;Stmicro;29
1918;Stolt-Nielsen;20
1919;Stora;30
1920;Storagetek;30
1921;Storck;30
1922;Storebrand;10
1923;Stork;14
1924;Stratagene;29
1925;Straumann Ag;10
1926;Stryker;29
1927;Studio Moderna;30
1928;Styrochem;20
1929;Sudler;10
1930;Suez;9
1931;Sulzer;29
1932;Sun Microsystems;14
1933;Sunrise Medical;10
1934;Supresta-Phosphorus;10
1935;Suzuki;15
1936;Daniel Swarovski Corporation A;17
1937;Swatch;30
1938;Swedish Match;20
1939;Swedwood;10
1940;Swedish N.A. For Higher Educ;14
1941;Swep;28
1942;Swift;2
1943;Swiss;29
1944;Sbc Warburg;9
1945;Swisscom;29
1946;Swisscontrol;20
1947;Swisslife;29
1948;Swiss Re;29
1949;Swiss Telecom;20
1950;Sybase;9
1951;Sydkraft;9
1952;Sygnity;20
1953;Symantech;20
1954;Symbol Techno;30
1955;Syngenta;29
1956;Synstar;30
1957;Synthes;10
1958;Sysopen;10
1959;Syvox Corporation;30
1960;Tac;9
1961;Takeda;9
1962;Talgentra;15
1963;Tamoil;14
1964;Tenabe Seiyaku;30
1965;Tandem Computers Nv;2
1966;Tap Air Portugal;14
1967;Tate & Lyle;15
1968;Taylor Woordrow;9
1969;Tchibo;10
1970;Tdc;6
1971;Tdc Switzerland Ag;15
1972;Tdk;17
1973;Team Training;30
1974;Teboil;9
1975;Tech Data;9
1976;Techmar;2
1977;Technip;10
1978;Teijin Group;9
1979;Teijin Twaron;20
1980;Teknia;9
1981;Tektronix;30
1982;Tele Atlas;2
1983;Telecom Eireann;9
1984;Telecom Invest;20
1985;Telecom Italia;25
1986;Telefonica;30
1987;Telemedia;10
1988;Telenet;2
1989;Telenor;21
1990;Telenordia;9
1991;Telerex;30
1992;Telesoft;10
1993;Telfort;17
1994;Telia Sonera;28
1995;Ten Cate;20
1996;Tenneco;10
1997;Teo Lt Ab;20
1998;Teradyne;30
1999;Sc Terapia;24
2000;Ter Beke;17
2001;Terex;17
2002;Terumo;9
2003;Tesa;10
2004;Tesco Stores;9
2005;Test Achats;10
2006;Tetra Laval;29
2007;Teva;20
2008;Texaco;30
2009;Texas Instruments;30
2010;Thames;15
2011;Thermo Fisher Scientific;10
2012;Thermo King;2
2013;Thomas & Betts European Centre;30
2014;Thomas Cook;15
2015;Thomas Group;15
2016;Thomas Howell;10
2017;Thomas'S;20
2018;Thomassen Int'L Bv;30
2019;Thomson;30
2020;Thyssen;10
2021;Thyssen-Krupp;20
2022;Tibco;15
2023;Time Magazine;29
2024;Tim Hellas;17
2025;Timken;9
2026;Tinfos;15
2027;Tioxide;2
2028;Tiscali;15
2029;Titan Cement Company;11
2030;Tno;20
2031;Tnt;20
2032;Tokheim Corporation;9
2033;Torsan;30
2034;Toshiba;20
2035;Tosoh;20
2036;Total;9
2037;Toyota;2
2038;Trade Arbed;30
2039;Trainers House Oy;20
2040;Tramedico;17
2041;Trane;30
2042;Transamerica;10
2043;Tredegar Film Products;20
2044;Trelleborg;10
2045;Trespa;14
2046;Trierenberg Holding Ag;1
2047;Troostwijk;2
2048;Tropicana;1
2049;Trumpf;30
2050;Trustmedia;30
2051;Trw;10
2052;Tryg;2
2053;Tsb;9
2054;Tools Technic System;9
2055;Tuev;10
2056;Tulip Inn;20
2057;Tupperware;29
2058;Turkcell Iletisim Hizmetleri A;10
2059;Turku;8
2060;Turku Bio Valley;15
2061;Turku Chamber Of Commerce;9
2062;Int'L Turnkey Systems;9
2063;Tvx;1
2064;Twijnstra;15
2065;Tyco;10
2066;Tyrolit;30
2067;Uap Union Des Assurances De Pa;15
2068;Union Bank Of Switzerland;29
2069;Ucb;10
2070;Ucl;10
2071;Ul Int;30
2072;Ulticom;9
2073;Umc;9
2074;Umicore;2
2075;United Nations;1
2076;Unaxis Management Inc;29
2077;Undp;10
2078;Unesco;30
2079;Unhcr;10
2080;Unibank;10
2081;Unicef;15
2082;Unicible;30
2083;Unicom Bols;10
2084;Unicredit Group;10
2085;Unicredito;9
2086;United Nations International D;10
2087;Unilever;30
2088;Union Carbide;30
2089;Unipart;10
2090;Unisabi;2
2091;Unisource;10
2092;Uni Storebrand Life;30
2093;Unisys;9
2094;United Airlines;9
2095;United Biscuits;1
2096;United Distillers Plc;20
2097;Univar Europe Ltd;30
2098;Intermec Label Products;10
2099;Pharmacia Upjohn;20
2100;Upm;8
2101;Ups Parcel Service;2
2102;Uralita;2
2103;Urban Science;9
2104;Uria;10
2105;Usinor Group;9
2106;Us Pharmacia;9
2107;Uta;20
2108;Utc;10
2109;Utrecht Unif;1
2110;Vacon;8
2111;Vaisala;9
2112;Valeo;2
2113;Vall;20
2114;Valmet;30
2115;Vandemoortele;30
2116;Van Den Bergh;30
2117;Van Leer;9
2118;Van Melle;29
2119;Vantico;10
2120;Vantis;15
2121;Varian;29
2122;Varta Geraetebatterie Gmbh;10
2123;Vasco;9
2124;Vattenfall;10
2125;Vdab;30
2126;Veba;9
2127;Vekoma;9
2128;Velux;6
2129;Ventana Medical Systems Sa;9
2130;Veolia;9
2131;Veritas;9
2132;Verizon Business;30
2133;Vermeer;9
2134;Versatel Telecom Int'L;20
2135;Vestel;30
2136;Vf;30
2137;Viag;10
2138;Vickers;10
2139;Vifor;29
2140;Villeworth;9
2141;Vimpelcom;10
2142;Viohalco Holdings;20
2143;Vipnet D O O;10
2144;Vips;30
2145;Virgin;10
2146;Visa International;30
2147;Vishay;10
2148;Vision Networks;29
2149;Viskase;15
2150;Visteon;15
2151;Vitatron;10
2152;Vivendi Universal;9
2153;Vivo;20
2154;Vnu;2
2155;Vodafone;30
2156;Voest Alpine;1
2157;Volkswagen;10
2158;Volvo;28
2159;Vonage;1
2160;Koninklijke Vopak;10
2161;Vorwerk;10
2162;Vredestein;10
2163;Vroom;17
2164;Vsea Varian;30
2165;Vtt;2
2166;Wacker;20
2167;Wacker Group;20
2168;Wagon;15
2169;The Wall Street Journal;15
2170;Walsh;20
2171;Walt Disney;20
2172;Wartsila Nsd;8
2173;Waters;15
2174;Industrial Relations Europe;15
2175;Wavin;20
2176;World Customs Organization;15
2177;Weber Shandwick;17
2178;Weidmueller;15
2179;Welch Allyn Inc;2
2180;Weleda;14
2181;Wella;10
2182;Wessex Water;9
2183;Westel;14
2184;Western Atlas;14
2185;Western Nis;30
2186;Western Union;1
2187;Westinghouse;10
2188;Westlb;17
2189;Westvaco;14
2190;Weyerheauser;30
2191;Wfp World Food Programme;15
2192;Australian Wheat Board;10
2193;Whirlpool Int'L;15
2194;Whitbread Plc;29
2195;White   Case;20
2196;Whitestein Tech;30
2197;Who;6
2198;Wihuri;8
2199;William Grant;9
2200;Willis;15
2201;Wilson Color;10
2202;Wipo;29
2203;Wolters Kluwer;10
2204;The Worldbank Group;9
2205;World Directories;30
2206;Wpp;10
2207;Wr Grace;10
2208;The Wrigley Company;30
2209;Wto;29
2210;Wunderman Cato Johnson;10
2211;Wwf World Wildlife Fund For Na;30
2212;Wyeth Lederle;30
2213;Xansa;10
2214;Xerox;30
2215;Xiosbank;9
2216;Xircom;2
2217;Xyrofin;17
2218;Yageo;29
2219;Yahoo;30
2220;Yakult;15
2221;Yamaha;20
2222;Yellow Pages;9
2223;Yemen Lng  ;15
2224;Yit;20
2225;Yokogawa;20
2226;Yoplait;30
2227;Yorkshire Electricity Group Pl;1
2228;Yorkshire Water;9
2229;Yukos Rm;20
2230;Zambon;15
2231;Zamil Group Holding Company  ;9
2232;Zander;1
2233;Zanussi;2
2234;Zara;9
2235;Zdb;17
2236;Zellweger;10
2237;Zemeus;9
2238;Zentiva;5
2239;Zivnostenska;9
2240;Zsnp;15
2241;Zumtobel;10
2242;Zurich Re;29
2243;Zwack;17
2244;Zweifel;9
2245;Zyma Spa;10
