Id;Nm_Grp;Id_Cty
272;Baker;9
273;Balkanpharma;29
274;Ball Packaging;10
275;Baloise;29
276;Baltcap;2
277;Baltimore Technologies;29
278;Banawi;29
279;Banca D'Italia;15
280;Banco De Portugal;9
281;Banco Espirito Santo;10
282;Banco Popular;30
283;Banco Santander;27
284;Bandag;2
285;Bank Austria;1
286;Bankgesellschaft Berlin;9
287;Bank Handlowy;17
288;Bank Hapoalim;10
289;Bank Int Settlements;29
290;Bank Of America;9
291;Bank Of Bermuda;15
292;Bank Of Crete;9
293;Bank Of Cyprus;30
294;Bankoffin;10
295;Bank Of Greece;9
296;Bank Of Ireland;14
297;Bank Of Kuwait;30
298;Bank Of Scotland;30
299;Bank Of Uganda;17
300;Bank Of Valletta;18
301;Banksys;20
302;Banque Indosuez;10
303;Barclays;30
304;Barco;2
305;Bard;9
306;Barilla;30
307;Barry Callebaut;29
308;Basamh Trading Co.;1
309;Basell;20
310;Basf;10
311;Bass;17
312;British American Tobacco;30
313;Batelco Bahrein Telecommunicat;30
314;Batenboch;9
315;Bausch & Lomb Ltd;30
316;Baxter;29
317;Bayer;10
318;Bayerische Hypo & Vereinsbank;10
319;Bba;29
320;Bbc;20
321;Bbl;20
322;B Braun;9
323;Bbv;30
324;Bch;9
325;Bci;30
326;Bearingpoint;9
327;Beaufour Ipsen;30
328;Beckman Instruments Int'L Sa;29
329;Bd;2
330;Beiersdorf;10
331;Bekaert;2
332;Beldem;15
333;Belgacom;2
334;Bell Helicopter Supply Centre;10
335;Bemis;2
336;Benckiser;30
337;Benetton;15
338;Benteler;10
339;Berenschot;10
340;Berg;20
341;Roland Berger   Partner Jmc;30
342;Bertelsmann;10
343;Bestfoods;10
344;Bfg Bank Ag;9
345;Bf Goodrich;15
346;British Gas Plc;30
347;Biacore;30
348;Bicakcilar;10
349;Bilim Pharmaceuticals Company;17
350;Billerud;10
351;Billiton Refractories Bv;29
352;Biogen;29
353;Biomerrieux;9
354;Biomet;10
355;Biotie;9
356;Bioton;30
357;Biotronik;30
358;Biovitrum;9
359;Bipop Carire;17
360;Bisnode;28
361;Blueprint Partners;2
362;Bmc Software Inc;30
363;Bms;30
364;Bmw;10
365;British Nuclear Fuels Plc -Bnf;30
366;Bnl Banca Naz'L Del Lavoro;9
367;Bnp Parisbas;9
368;Boc;30
369;Boehringer Ingelheim;10
370;Boliden;30
371;Baars Italia;1
372;Bombardier;20
373;Bongrain;14
374;Bonnier;15
375;Bookit;15
376;Boots The Chemist;30
377;Booz Allen;9
378;Bord Gais Eireann;30
379;Borealis;14
380;Borg Automotive;20
381;Bosal;15
382;Bosch;10
383;Bosig;30
384;Bosnalijek D D;30
385;Boston Consulting;20
386;Boston Scientific;9
387;Bouygues;20
388;Bovis Lend Lease;30
389;Bowater Ltd;30
390;Bp Amoco;30
391;Bpb;20
392;Bpgf Banque Privee De Gestion;30
393;Bpi Service Gmbh;30
394;Bracco;15
395;Brambles;30
396;Francaise De Brasserie;10
397;Braun;2
398;Bre Bank Sa;10
399;Bridge Information System;10
400;Bridgestone;2
401;Britannic Group Plc;10
402;British Car;30
403;British Waterways;1
404;Broadvision;30
405;Brown-Forman Corporation;10
406;Bruker Corporation;10
407;Brunel Holdings;17
408;British Steel Strip Products;30
409;Bsi;15
410;British Sugar Plc;30
411;British Telecom;30
412;Buhrs-Zaandam;10
413;Bull;2
414;Bupa;9
415;Nc;20
416;Business Objects;9
417;Business Week;9
418;Bzw;30
419;C&A;2
420;Cable & Wireless;10
421;Cabot;2
422;Cadbury;9
423;Caixa Galicia;10
424;Caja Madrid;9
425;Calgary;10
426;Caliber;10
427;Calleo;14
428;Calmar;29
429;Campari;15
430;Campbell;1
431;Campina;30
432;Campine;9
433;Cannon Avent Group Plc;30
434;Canon;20
435;Capco;20
436;Cap Gemini;9
437;Capital Int'L;30
438;Cardinal Health;10
439;Cargill;29
440;Cargotec;8
441;Carlo Tassara;2
442;Carlsberg Group;6
443;Carl Zeiss;10
444;Carnaudmetalbox;10
445;Carnet Hrvatska;4
446;Carrefour;9
447;Carrier;9
448;Cartier;9
449;Case;14
450;Castrol;30
451;Cat;10
452;Caterpillar;29
453;Cd Group;17
454;Cedel International;2
455;Cegedim;9
456;Cegelec;29
457;Cegetel;10
458;Cegos Sa;9
459;Celebrity Food Factories;15
460;Celtel;15
461;Ceo Circle;30
462;Ceres Hellenic Shipping Enterp;15
463;Cerestar;9
464;Cern European Organization For;10
465;Ceskapolec;10
466;Ceska Rafinerska;17
467;Cesky Telecom;15
468;Cetrel Sc Centre De Transferts;17
469;Cez;5
470;Cgi;30
471;Cgnu;10
472;Chancellerie D'Etat Du Canton;20
473;Chanel;10
474;Sarl Les Charmilles;15
475;Chase;10
476;Chauvin;2
477;Check Point;9
478;Chemco Leasing;9
479;Chemetall;30
480;Chemi Hub;10
481;Cheming;2
482;Chemo Petrol;2
483;Chemviron;2
484;Chep;20
485;Chiesi;15
486;Chiltern;9
487;Chiron;20
488;Chiron Werke;10
489;Ch Katselis;11
490;Chr;6
491;Christian Salvesen;9
492;Chupa Chups;27
493;Church Dwight;15
494;Church Of Jesus Christ;20
495;Ciba Specialty Chemicals;29
496;Cicor Technologies;2
497;Ciech;2
498;Cie Francaise De Raffinage;10
499;Cimpor;10
500;Cincom;14
501;Cisco Systems;30
502;Citibank;30
503;Citrix Systems;9
504;Claranet;15
505;Clariant;29
506;Clipper Group;17
507;Coca Cola;9
508;Cofinoga;10
509;Cognis Deutschland Gmbh & Co K;10
510;Coherent Sa;10
511;Coldstream;9
512;Colgate-Palmolive;29
513;Colliers;20
514;Colorcon Ltd;30
515;Colt;9
516;Commercial Bank Of Greece;17
517;Commerzbank Group;15
518;Compaq;9
519;Compass Group;30
520;Compressor;1
521;Computer Associates;30
522;Conoco;30
523;Consignia;10
524;Conteyor;2
525;Continental;10
526;Contur;10
527;Cookson Group;30
528;Copeland;14
529;Corporate Leadership Council;30
530;Costco;10
531;Courage Ltd;20
532;Groupe Courtaud;9
533;Courtaulds;10
534;Coutts Group;30
535;Covidien;30
536;Cpc Italia Spa;10
537;Credit Agricole;10
538;Credit Libanais;1
539;Credit Lyonnais;17
540;Credit Suisse;29
541;Crestron;10
542;Croatian Employers Association;10
543;Croatian Managers & Entreprene;4
544;Crompton;30
545;Crown Cork & Seal;9
546;Crown Plaza;29
547;Crucell;20
548;Csem;9
549;Csfb;9
550;Csl;29
551;Ceskoslovenska Obchodni Banka;10
552;Ceska Spolecnost Pro Rozvoj Li;1
553;Ctt;30
554;Cultor Food Science Gmbh;15
555;Cummins;15
556;Curacao Tourism;9
557;Curasan;29
558;Cybernet Ag;30
559;Cytek;30
560;Dachser;10
561;Dade;9
562;Daewoo;29
563;Daf;17
564;Daiichi Sankyo;10
565;Daily Mail Publishing;2
566;Daimler-Chrysler;10
567;Dairygold;10
568;Dako;6
569;Danapak R   D Center A/S;30
570;Dandy;30
571;Dandy Textiles Ltd;15
572;Danfoss;9
573;Danica;9
574;Danisco;6
575;Danish Management Forum;15
576;Danone;9
577;Dansk Industri;30
578;Datalogic Spa;15
579;Datawell;30
580;Ddb;9
581;Dearler.Com;9
582;Debiopharm;9
583;Degussa;10
584;Delft Sensor;9
585;Delhaize;2
586;Dell Computers;10
587;Deloitte Touche Tohmatsu Inter;2
588;Delphi;9
589;Delta Dairy Sa;11
590;Deminex Suez Petroleum Gmbh;15
591;Demirbank Tas;17
592;Denso;10
593;Dentsply International;15
594;Depa;11
595;Detesystem Gmbh;30
596;Deutsche Telekom;10
597;Deutsche Boerse;10
598;Deutsche Bank;10
599;Deutsche Post;10
600;Administrative Development Age;20
601;Devro;9
602;Dexia Bank;9
603;Dhb Bank;20
604;Diageo;30
605;Digital Equipment Spa;15
606;Dnv;21
607;Domeo;29
608;Domnick Hunter Ltd;30
609;Administracao Do Porto;9
610;Dorint;15
611;Dover Corporation;9
612;The Dow Chemical Company;29
613;Draeger;10
614;Draka;30
615;Drake Holding Group;10
616;Sperry-Sun Drilling Services;10
617;Dr Mach;10
618;Dr Reddy'S;10
619;Dr Schumacher;20
620;Drukker;9
621;Dsm;29
622;Dti Danish Institute;17
623;Dubai Duty Free ;9
624;Dun & Bradstreet;9
625;Dupont-Howson;30
626;Durr;20
627;Dynea;8
628;Dyno;10
629;Eads;9
630;Easa;30
631;Eastman Chemical;20
632;Easynet;1
633;Eaton Services Ltd;10
634;E-Bay International;10
635;Ebi;29
636;Ebn;30
637;Ebram Investment  ;14
638;Ebrd European Bank Reconstruct;30
639;Mondial Int'L;9
640;Ebs Dealing;30
641;Ebu;29
642;Ecb / Bce;10
643;Ecco Travail Temporaire;15
644;Eco;15
645;Ecolab;10
646;Ect;2
647;Electricite De France;9
648;Edf - Gdf;20
649;Edgecom;30
650;Edp Electricidade De Portugal;15
651;Eds;30
652;Edward Lifesciences;29
653;Effem Foods;17
654;Efg Eurobank;9
655;Efqm European Foundation Quali;30
656;Etfa;9
657;Egis;15
658;Egmont;6
659;Egyptian General Petroleum Cor;10
660;Ehpt;10
661;Eib-Bei European Investment Ba;17
662;Eimskip-The Iceland Steamship;10
663;Eisai;29
664;Elais Oleaginous;10
665;Elan;30
666;Elbrewery Co;20
667;Electrolux;28
668;Elektrim;9
669;Elisa;8
670;Elsevier;9
671;Emaar;15
672;Emap;20
673;Emarat 0 Emirates General Petr;2
674;Emc;10
675;Ementor;21
676;Emerson;29
677;Emirates Airlines;9
678;Emirates Bank;15
679;Encorium;1
680;Endesa;9
681;Eneco;10
682;Enel;9
683;Energizer;30
684;Engineering Contractors;30
685;Eni;30
686;Enichem Uk Ltd;9
687;Enite Technologie Spa;9
688;Enka;2
689;Ensto;30
690;Enterprise Ireland;14
691;Eommex;30
692;E-On Energie;15
693;Epa /Epo;10
694;Epicor;1
695;Epson;20
696;Eri Group;29
697;Ericsson;28
698;Eridania;15
699;Ernst   Young;30
700;Essab;15
701;Esade;1
702;Esaote;9
703;Esb;14
704;Esf Cost Office;2
705;Eskom;9
706;Eso;10
707;Esselte;15
708;Essex Chemie;10
709;Estec / Esa / European Space A;9
710;Estee Lauder;9
711;Laboratorios Dr Esteve Sa;9
712;Etam;30
713;Beronit;9
714;Ethniki;9
715;Etisalat Emirates Telecommunic;30
716;Etsi;9
717;Europaeische Reiseversicherung;9
718;Eureka;9
719;Eurest;30
720;Euroclear Bank Sa/Nv;10
721;Eurocontrol;2
722;Europa Inter-Continental;20
723;Eurojust;20
724;Euronet;15
725;Europa Impmex International Lt;10
726;European Parliament;15
727;Europay Int'L;2
728;Ec European Commission;2
729;Europol;15
730;Euro Rscg;10
731;Eutelsat;9
732;Evc Int'L Coordination Centre;1
733;Evca;2
734;Everon;2
735;Evonik;10
736;Ewopharma;20
737;Exel Logistics;9
738;Expedia;10
739;Experian;30
740;Exxonmobil;30
741;Fabra;20
742;Famar;11
743;Fao;15
744;Fasson Nederland Bv;9
745;Fastlink ;9
746;Khalil Fattal & Fils & Fattal;30
747;Faulding;30
748;Faurecia;9
749;Oy Karl Fazer Ab;8
750;Fci Framatone Connectors Inter;9
751;Fde;15
752;Fedex European Services;9
753;Gilde Fellesslakteriet;9
754;Fnestra;29
755;Fennia;17
756;Ferranti;30
757;Ferrari;29
758;Ferrero;15
759;Ferring;29
760;Ferro;20
761;Ferrosan;20
762;Ferrovial;15
763;Ferry Freighting;29
764;Festo;10
765;Ffio;9
766;Fg Naxos;17
767;Fiat;9
768;Fidea;30
769;Fidelity;15
770;Fides;30
771;Fideuram;10
772;Fidi;2
773;Field Fisher Waterhouse;20
774;Filippou Investments;1
775;Finacor;15
776;Finland Post;10
777;Finnair;10
778;Metsa-Serla Sales;10
779;Firmenich;29
780;Fiscambi;9
781;Fischer And Porter;10
782;Fischer Scientific;30
783;Fisher Controls;2
784;Fisher Price;10
785;Fisher-Rosemount Ag;10
786;Fiskars;9
787;Fitch;30
788;Fleetguard;2
789;Flir Systems;29
790;Fm Logistics;9
791;Fmc Process Additives Division;30
792;Fm Insurance;10
793;Fnac;30
794;Fokker;1
795;Forbo-Giubiasco Sa;1
796;Force Computers;10
797;Ford;10
798;Forrester Research Inc;9
799;Forte Uk Ltd;9
800;Fortis;2
801;Fortum;15
802;Fournier;30
803;France Energie Bail;30
804;La Francaise Des Jeux;15
805;France Telecom;30
806;Freixenet;30
807;Fresenius;10
808;Freudenberg;10
809;Friesland Bank;20
810;Royal Friesland;20
811;Frigoglass;11
812;F.Stephan;9
813;Fujitsu;20
814;Fujitsu Siemens;10
815;Ha Fuller Company;30
816;Future Corporation;15
817;Galena As;2
818;Gallaher Group Plc;30
819;Gallina Blanca Sa;27
820;Gambro;28
821;Games Workshop;30
822;Groupama-Gan International;20
823;Garanti Bank;10
824;Gasan Group Of Companies;20
825;Gasco Abu Dhabi Gas Industries;15
826;Gas Natural;9
827;Gate Gourmet;29
828;Gates Europe;2
829;General Electric;30
830;Gea Tuchenhagen;10
831;Gedeon Richter;20
832;Ge Healthcare;30
833;Gemalto;9
834;Gemplus;10
835;General Accident;15
836;General Biscuits;15
837;Generale Des Eaux;9
838;Generali Insurance;9
