Id;Name;Country_iso;Country_id
211;Arcelor Mittal;LUX;17
212;Arch Chemicals;Int;30
213;Arco Chimie France Snc;Int;10
214;Arc Transistance;BEL;2
215;Ardagh Group;Int;20
216;Areva;FRA;9
217;Industrias Quimicas Argos Sa;Int;15
218;Argyle Diamonds Nv;Int;9
219;Arinso;BEL;2
220;Arizona;Int;29
221;Arjo Wiggins;Int;30
222;Arkwright;Int;10
223;Arm Group;Int;14
224;Armentel;Int;30
225;Saudi Methanol Co Ar-Razi;Int;1
226;Arthur D Little;Int;30
227;Arvin Meritor;UK;30
228;Ascom;SWI;29
229;Ashland;NET;20
230;Ashridge Management College;Int;15
231;Aspis Pronia;Int;2
232;Asseco;Int;15
233;Assidoman;Int;9
234;Asta;Int;30
235;Astellas;GER;10
236;Astorg;Int;17
237;Astra Zeneca;UK;30
238;Athenian Brewery;Int;20
239;Athens Paper;Int;9
240;At Kearney;Int;30
241;Atkins Global;Int;9
242;Atlas Copco;SWE;28
243;Aton;Int;9
244;Atos Origin;FRA;9
245;Atradius;Int;29
246;Att;Int;10
247;Attiko;Int;30
248;Auchan;Int;10
249;Audi;Int;10
250;Austria Microsystems;AUS;1
251;Austrian Industries Ag;Int;9
252;Autodesk;SWI;29
253;Autogrill;Int;20
254;Auto Suture;Int;30
255;Avax;Int;20
256;Avaya;UK;30
257;Avery Dennison;NET;20
258;Avis Rent-A-Car Italy;Int;15
259;Aviva Assurances;Int;29
260;Avnet;Int;9
261;Avon;GER;10
262;Axa;FRA;9
263;Axalto Sa;Int;9
264;Azienda Agricola;Int;1
265;Azoty;Int;2
266;British Airways;UK;30
267;British Airports Authority;Int;30
268;Baan;Int;30
269;British American Business;UK;30
270;Bacardi;Int;9
271;Bahlsen;Int;9
272;Baker;Int;15
273;Balkanpharma;Int;1
274;Ball Packaging;GER;10
275;Baloise;SWI;29
276;Baltcap;Int;9
277;Baltimore Technologies;Int;10
278;Banawi;Int;29
279;Banca D'Italia;ITA;15
280;Banco De Portugal;Int;20
281;Banco Espirito Santo;Int;15
282;Banco Popular;Int;9
283;Banco Santander;SPA;27
284;Bandag;BEL;2
285;Bank Austria;AUS;1
286;Bankgesellschaft Berlin;Int;10
287;Bank Handlowy;Int;9
288;Bank Hapoalim;Int;20
289;Bank Int Settlements;SWI;29
290;Bank Of America;Int;10
291;Bank Of Bermuda;Int;10
292;Bank Of Crete;Int;9
293;Bank Of Cyprus;Int;15
294;Bankoffin;Int;15
295;Bank Of Greece;Int;17
296;Bank Of Ireland;IRE;14
297;Bank Of Kuwait;Int;9
298;Bank Of Scotland;Int;14
299;Bank Of Uganda;Int;30
300;Bank Of Valletta;MAL;18
301;Banksys;Int;20
302;Banque Indosuez;Int;30
303;Barclays;UK;30
304;Barco;BEL;2
305;Bard;Int;9
306;Barilla;Int;10
307;Barry Callebaut;SWI;29
308;Basamh Trading Co.;Int;9
309;Basell;NET;20
310;Basf;GER;10
311;Bass;Int;30
312;British American Tobacco;UK;30
313;Batelco Bahrein Telecommunicat;Int;10
314;Batenboch;Int;30
315;Bausch & Lomb Ltd;UK;30
316;Baxter;SWI;29
317;Bayer;GER;10
318;Bayerische Hypo & Vereinsbank;Int;9
319;Bba;Int;17
320;Bbc;Int;9
321;Bbl;Int;10
322;B Braun;Int;30
323;Bbv;Int;2
324;Bch;Int;30
325;Bci;Int;10
326;Bearingpoint;Int;9
327;Beaufour Ipsen;Int;29
328;Beckman Instruments Int'L Sa;SWI;29
329;Bd;BEL;2
330;Beiersdorf;GER;10
331;Bekaert;BEL;2
332;Beldem;Int;10
333;Belgacom;BEL;2
334;Bell Helicopter Supply Centre;Int;9
335;Bemis;BEL;2
336;Benckiser;UK;30
337;Benetton;Int;17
338;Benteler;GER;10
339;Berenschot;Int;15
340;Berg;Int;10
341;Roland Berger   Partner Jmc;Int;10
342;Bertelsmann;GER;10
343;Bestfoods;Int;15
344;Bfg Bank Ag;Int;17
345;Bf Goodrich;ITA;15
346;British Gas Plc;UK;30
347;Biacore;Int;30
348;Bicakcilar;Int;30
349;Bilim Pharmaceuticals Company;Int;17
350;Billerud;Int;20
351;Billiton Refractories Bv;Int;15
352;Biogen;SWI;29
353;Biomerrieux;FRA;9
354;Biomet;GER;10
355;Biotie;Int;10
356;Bioton;Int;9
357;Biotronik;Int;20
358;Biovitrum;Int;15
359;Bipop Carire;Int;30
360;Bisnode;SWE;28
361;Blueprint Partners;Int;9
362;Bmc Software Inc;Int;9
363;Bms;UK;30
364;Bmw;GER;10
365;British Nuclear Fuels Plc -Bnf;Int;15
366;Bnl Banca Naz'L Del Lavoro;Int;20
367;Bnp Parisbas;Int;15
368;Boc;UK;30
369;Boehringer Ingelheim;GER;10
370;Boliden;Int;10
371;Baars Italia;Int;14
372;Bombardier;Int;9
373;Bongrain;Int;29
374;Bonnier;Int;17
375;Bookit;Int;17
376;Boots The Chemist;UK;30
377;Booz Allen;Int;20
378;Bord Gais Eireann;Int;30
379;Borealis;Int;9
380;Borg Automotive;Int;15
381;Bosal;Int;30
382;Bosch;GER;10
383;Bosig;Int;30
384;Bosnalijek D D;BOS;17
385;Boston Consulting;Int;20
386;Boston Scientific;FRA;9
387;Bouygues;Int;2
388;Bovis Lend Lease;Int;20
389;Bowater Ltd;Int;30
390;Bp Amoco;UK;30
391;Bpb;Int;10
392;Bpgf Banque Privee De Gestion;Int;15
393;Bpi Service Gmbh;Int;10
394;Bracco;ITA;15
395;Brambles;UK;30
396;Francaise De Brasserie;Int;9
397;Braun;Int;9
398;Bre Bank Sa;Int;30
399;Bridge Information System;Int;30
400;Bridgestone;BEL;2
401;Britannic Group Plc;Int;29
402;British Car;Int;9
403;British Waterways;Int;10
404;Broadvision;Int;9
405;Brown-Forman Corporation;Int;9
406;Bruker Corporation;Int;20
407;Brunel Holdings;Int;30
408;British Steel Strip Products;UK;30
409;Bsi;Int;15
410;British Sugar Plc;Int;10
411;British Telecom;UK;30
412;Buhrs-Zaandam;Int;10
413;Bull;Int;10
414;Bupa;Int;10
415;Nc;Int;14
416;Business Objects;FRA;9
417;Business Week;Int;9
418;Bzw;Int;10
419;C&A;BEL;2
420;Cable & Wireless;Int;20
421;Cabot;Int;10
422;Cadbury;Int;30
423;Caixa Galicia;Int;30
424;Caja Madrid;Int;30
425;Calgary;Int;20
426;Caliber;Int;10
427;Calleo;Int;30
428;Calmar;Int;9
429;Campari;ITA;15
430;Campbell;Int;2
431;Campina;Int;29
432;Campine;Int;15
433;Cannon Avent Group Plc;UK;30
434;Canon;NET;20
435;Capco;Int;15
436;Cap Gemini;FRA;9
437;Capital Int'L;Int;30
438;Cardinal Health;Int;9
439;Cargill;SWI;29
440;Cargotec;FIN;8
441;Carlo Tassara;Int;30
442;Carlsberg Group;DEN;6
443;Carl Zeiss;Int;20
444;Carnaudmetalbox;Int;10
445;Carnet Hrvatska;CRO;4
446;Carrefour;FRA;9
447;Carrier;FRA;9
448;Cartier;FRA;9
449;Case;Int;9
450;Castrol;Int;14
451;Cat;Int;9
452;Caterpillar;SWI;29
453;Cd Group;Int;10
454;Cedel International;Int;30
455;Cegedim;FRA;9
456;Cegelec;Int;15
457;Cegetel;Int;20
458;Cegos Sa;Int;9
459;Celebrity Food Factories;Int;14
460;Celtel;Int;10
461;Ceo Circle;UK;30
462;Ceres Hellenic Shipping Enterp;Int;14
463;Cerestar;Int;29
464;Cern European Organization For;Int;14
465;Ceskapolec;Int;10
466;Ceska Rafinerska;Int;20
467;Cesky Telecom;Int;15
468;Cetrel Sc Centre De Transferts;LUX;17
469;Cez;CZE;5
470;Cgi;UK;30
471;Cgnu;Int;15
472;Chancellerie D'Etat Du Canton;Int;10
473;Chanel;Int;1
474;Sarl Les Charmilles;Int;20
475;Chase;Int;9
476;Chauvin;Int;17
477;Check Point;Int;30
478;Chemco Leasing;Int;14
479;Chemetall;Int;29
480;Chemi Hub;Int;14
481;Cheming;Int;10
482;Chemo Petrol;Int;29
483;Chemviron;BEL;2
484;Chep;Int;15
485;Chiesi;ITA;15
486;Chiltern;Int;10
487;Chiron;Int;30
488;Chiron Werke;GER;10
489;Ch Katselis;GRE;11
490;Chr;DEN;6
491;Christian Salvesen;Int;17
492;Chupa Chups;SPA;27
493;Church Dwight;Int;9
494;Church Of Jesus Christ;Int;10
495;Ciba Specialty Chemicals;SWI;29
496;Cicor Technologies;Int;9
497;Ciech;Int;29
498;Cie Francaise De Raffinage;Int;30
499;Cimpor;Int;17
500;Cincom;Int;1
501;Cisco Systems;UK;30
502;Citibank;UK;30
503;Citrix Systems;Int;10
504;Claranet;Int;2
505;Clariant;SWI;29
506;Clipper Group;Int;17
507;Coca Cola;FRA;9
508;Cofinoga;Int;9
509;Cognis Deutschland Gmbh & Co K;GER;10
510;Coherent Sa;GER;10
511;Coldstream;Int;30
512;Colgate-Palmolive;SWI;29
513;Colliers;Int;30
514;Colorcon Ltd;UK;30
515;Colt;Int;15
516;Commercial Bank Of Greece;Int;20
517;Commerzbank Group;Int;30
518;Compaq;Int;1
519;Compass Group;UK;30
520;Compressor;Int;9
521;Computer Associates;UK;30
522;Conoco;Int;20
523;Consignia;Int;17
524;Conteyor;BEL;2
525;Continental;GER;10
526;Contur;GER;10
527;Cookson Group;UK;30
528;Copeland;Int;9
529;Corporate Leadership Council;UK;30
530;Costco;Int;2
531;Courage Ltd;Int;9
532;Groupe Courtaud;Int;17
533;Courtaulds;Int;10
534;Coutts Group;UK;30
535;Covidien;UK;30
536;Cpc Italia Spa;Int;10
537;Credit Agricole;Int;10
538;Credit Libanais;Int;20
539;Credit Lyonnais;Int;30
540;Credit Suisse;SWI;29
541;Crestron;Int;30
542;Croatian Employers Association;Int;15
543;Croatian Managers & Entreprene;CRO;4
544;Crompton;UK;30
545;Crown Cork & Seal;FRA;9
546;Crown Plaza;Int;17
547;Crucell;Int;29
548;Csem;Int;30
549;Csfb;Int;9
550;Csl;SWI;29
551;Ceskoslovenska Obchodni Banka;Int;17
552;Ceska Spolecnost Pro Rozvoj Li;Int;10
553;Ctt;Int;9
554;Cultor Food Science Gmbh;Int;9
555;Cummins;Int;30
556;Curacao Tourism;Int;2
557;Curasan;Int;10
558;Cybernet Ag;Int;15
559;Cytek;UK;30
560;Dachser;GER;10
561;Dade;Int;10
562;Daewoo;Int;15
563;Daf;Int;9
564;Daiichi Sankyo;GER;10
565;Daily Mail Publishing;Int;10
566;Daimler-Chrysler;GER;10
567;Dairygold;Int;9
568;Dako;DEN;6
569;Danapak R   D Center A/S;Int;30
570;Dandy;Int;9
571;Dandy Textiles Ltd;Int;10
572;Danfoss;FRA;9
573;Danica;Int;29
574;Danisco;DEN;6
575;Danish Management Forum;Int;30
576;Danone;FRA;9
577;Dansk Industri;Int;29
578;Datalogic Spa;ITA;15
579;Datawell;Int;29
580;Ddb;Int;17
581;Dearler.Com;Int;10
582;Debiopharm;Int;30
583;Degussa;Int;9
584;Delft Sensor;Int;30
585;Delhaize;BEL;2
586;Dell Computers;Int;9
587;Deloitte Touche Tohmatsu Inter;BEL;2
588;Delphi;FRA;9
589;Delta Dairy Sa;GRE;11
590;Deminex Suez Petroleum Gmbh;Int;9
591;Demirbank Tas;Int;15
592;Denso;Int;30
593;Dentsply International;Int;2
594;Depa;GRE;11
595;Detesystem Gmbh;Int;9
596;Deutsche Telekom;GER;10
597;Deutsche Boerse;GER;10
598;Deutsche Bank;GER;10
599;Deutsche Post;GER;10
600;Administrative Development Age;Int;15
601;Devro;Int;10
602;Dexia Bank;FRA;9
603;Dhb Bank;NET;20
604;Diageo;UK;30
605;Digital Equipment Spa;Int;9
606;Dnv;NOR;21
607;Domeo;Int;9
608;Domnick Hunter Ltd;Int;30
609;Administracao Do Porto;Int;9
610;Dorint;Int;9
611;Dover Corporation;Int;9
612;The Dow Chemical Company;SWI;29
613;Draeger;GER;10
614;Draka;Int;30
615;Drake Holding Group;Int;9
616;Sperry-Sun Drilling Services;Int;2
617;Dr Mach;Int;2
618;Dr Reddy'S;Int;10
619;Dr Schumacher;Int;30
620;Drukker;Int;10
621;Dsm;SWI;29
622;Dti Danish Institute;Int;10
623;Dubai Duty Free ;Int;30
624;Dun & Bradstreet;Int;30
625;Dupont-Howson;UK;30
626;Durr;Int;15
627;Dynea;FIN;8
628;Dyno;Int;30
629;Eads;FRA;9
630;Easa;Int;20
631;Eastman Chemical;NET;20
632;Easynet;Int;10
633;Eaton Services Ltd;Int;9
634;E-Bay International;Int;1
635;Ebi;Int;15
636;Ebn;Int;30
637;Ebram Investment  ;Int;10
638;Ebrd European Bank Reconstruct;Int;9
639;Mondial Int'L;Int;15
640;Ebs Dealing;UK;30
641;Ebu;SWI;29
642;Ecb / Bce;GER;10
643;Ecco Travail Temporaire;Int;9
644;Eco;Int;20
645;Ecolab;GER;10
646;Ect;Int;30
647;Electricite De France;FRA;9
648;Edf - Gdf;Int;10
649;Edgecom;UK;30
650;Edp Electricidade De Portugal;Int;30
651;Eds;UK;30
652;Edward Lifesciences;SWI;29
653;Effem Foods;Int;1
654;Efg Eurobank;Int;30
655;Efqm European Foundation Quali;Int;15
656;Etfa;Int;29
657;Egis;Int;15
658;Egmont;DEN;6
659;Egyptian General Petroleum Cor;Int;9
660;Ehpt;Int;9
661;Eib-Bei European Investment Ba;LUX;17
662;Eimskip-The Iceland Steamship;Int;10
663;Eisai;Int;1
664;Elais Oleaginous;Int;10
665;Elan;UK;30
666;Elbrewery Co;Int;9
667;Electrolux;SWE;28
668;Elektrim;Int;20
669;Elisa;FIN;8
670;Elsevier;FRA;9
671;Emaar;Int;30
672;Emap;Int;2
673;Emarat 0 Emirates General Petr;Int;30
674;Emc;GER;10
675;Ementor;NOR;21
676;Emerson;SWI;29
677;Emirates Airlines;Int;20
678;Emirates Bank;Int;20
679;Encorium;Int;30
680;Endesa;Int;15
681;Eneco;Int;20
682;Enel;Int;9
683;Energizer;UK;30
684;Engineering Contractors;Int;20
685;Eni;Int;20
686;Enichem Uk Ltd;Int;29
687;Enite Technologie Spa;Int;2
688;Enka;Int;30
689;Ensto;Int;20
690;Enterprise Ireland;IRE;14
691;Eommex;Int;20
692;E-On Energie;Int;9
693;Epa /Epo;GER;10
694;Epicor;Int;15
695;Epson;NET;20
696;Eri Group;SWI;29
697;Ericsson;SWE;28
698;Eridania;Int;30
699;Ernst   Young;UK;30
700;Essab;Int;2
701;Esade;Int;10
702;Esaote;Int;9
703;Esb;IRE;14
704;Esf Cost Office;BEL;2
705;Eskom;Int;30
706;Eso;GER;10
707;Esselte;Int;17
708;Essex Chemie;Int;10
709;Estec / Esa / European Space A;FRA;9
710;Estee Lauder;FRA;9
711;Laboratorios Dr Esteve Sa;Int;30
712;Etam;Int;10
713;Beronit;Int;20
714;Ethniki;Int;9
715;Etisalat Emirates Telecommunic;Int;9
716;Etsi;FRA;9
717;Europaeische Reiseversicherung;Int;9
718;Eureka;Int;15
719;Eurest;Int;30
720;Euroclear Bank Sa/Nv;Int;9
721;Eurocontrol;BEL;2
722;Europa Inter-Continental;Int;30
723;Eurojust;NET;20
724;Euronet;Int;10
725;Europa Impmex International Lt;Int;9
726;European Parliament;Int;29
727;Europay Int'L;Int;9
728;Ec European Commission;BEL;2
729;Europol;Int;30
730;Euro Rscg;Int;29
731;Eutelsat;FRA;9
732;Evc Int'L Coordination Centre;Int;30
733;Evca;BEL;2
734;Everon;Int;9
735;Evonik;GER;10
736;Ewopharma;Int;10
737;Exel Logistics;Int;1
738;Expedia;Int;29
739;Experian;UK;30
740;Exxonmobil;UK;30
741;Fabra;Int;9
742;Famar;GRE;11
743;Fao;ITA;15
744;Fasson Nederland Bv;Int;10
745;Fastlink ;Int;10
746;Khalil Fattal & Fils & Fattal;Int;30
747;Faulding;Int;2
748;Faurecia;FRA;9
749;Oy Karl Fazer Ab;FIN;8
750;Fci Framatone Connectors Inter;FRA;9
751;Fde;Int;9
752;Fedex European Services;Int;9
753;Gilde Fellesslakteriet;Int;9
754;Fnestra;Int;9
755;Fennia;Int;17
756;Ferranti;Int;30
757;Ferrari;Int;30
758;Ferrero;ITA;15
759;Ferring;SWI;29
760;Ferro;NET;20
761;Ferrosan;Int;9
762;Ferrovial;Int;29
763;Ferry Freighting;Int;20
764;Festo;GER;10
765;Ffio;Int;20
766;Fg Naxos;Int;30
767;Fiat;Int;10
768;Fidea;Int;30
769;Fidelity;Int;20
770;Fides;Int;9
771;Fideuram;Int;17
772;Fidi;BEL;2
773;Field Fisher Waterhouse;Int;15
774;Filippou Investments;Int;10
775;Finacor;Int;30
776;Finland Post;Int;15
777;Finnair;Int;15
778;Metsa-Serla Sales;Int;15
779;Firmenich;SWI;29
780;Fiscambi;Int;9
781;Fischer And Porter;Int;10
782;Fischer Scientific;Int;10
783;Fisher Controls;Int;2
784;Fisher Price;Int;29
785;Fisher-Rosemount Ag;Int;9
786;Fiskars;Int;9
787;Fitch;UK;30
788;Fleetguard;Int;10
789;Flir Systems;Int;15
790;Fm Logistics;FRA;9
791;Fmc Process Additives Division;Int;9
792;Fm Insurance;Int;9
793;Fnac;Int;9
794;Fokker;Int;20
795;Forbo-Giubiasco Sa;Int;10
796;Force Computers;Int;15
797;Ford;GER;10
798;Forrester Research Inc;Int;20
799;Forte Uk Ltd;Int;10
800;Fortis;BEL;2
801;Fortum;Int;20
802;Fournier;Int;10
803;France Energie Bail;Int;30
804;La Francaise Des Jeux;Int;15
805;France Telecom;UK;30
806;Freixenet;Int;9
807;Fresenius;GER;10
808;Freudenberg;GER;10
809;Friesland Bank;NET;20
810;Royal Friesland;NET;20
811;Frigoglass;GRE;11
812;F.Stephan;Int;30
813;Fujitsu;Int;30
814;Fujitsu Siemens;GER;10
815;Ha Fuller Company;Int;10
816;Future Corporation;Int;30
817;Galena As;Int;9
818;Gallaher Group Plc;UK;30
819;Gallina Blanca Sa;SPA;27
820;Gambro;SWE;28
821;Games Workshop;Int;30
822;Groupama-Gan International;Int;15
823;Garanti Bank;Int;10
824;Gasan Group Of Companies;Int;17
825;Gasco Abu Dhabi Gas Industries;Int;20
826;Gas Natural;Int;2
827;Gate Gourmet;SWI;29
828;Gates Europe;BEL;2
829;General Electric;UK;30
830;Gea Tuchenhagen;Int;10
831;Gedeon Richter;Int;9
832;Ge Healthcare;UK;30
833;Gemalto;FRA;9
834;Gemplus;Int;10
835;General Accident;Int;30
836;General Biscuits;Int;20
837;Generale Des Eaux;FRA;9
838;Generali Insurance;Int;20
839;General Partners;Int;30
840;General Physics;Int;10
841;General Reinsurance;GER;10
842;General Semiconductor;Int;10
843;Genzyme Corporation;NET;20
844;Geoff Howe Group;Int;30
845;Geopost;FRA;9
846;Georg Fischer;Int;10
847;General Electric Plastics;Int;10
848;Geratherm;Int;15
849;Gerber Technology  (Gerber Sci;Int;10
850;Germanos Group;Int;20
851;Gerolymatos;GRE;11
852;Getemed;Int;29
853;Getin Holding;Int;20
854;Getinge;Int;20
855;Gevaert;Int;9
856;Ghana Commercial Bank;Int;9
857;Gilead;Int;10
858;Gillette;Int;20
859;Global Integrated Supply;Int;30
860;Gist-Brocades France Sa;Int;10
861;Givaudan-Roure Spa;SWI;29
862;Gjensidige;Int;15
863;Gkn Automotive;UK;30
864;Galeries Lafayette;Int;9
865;Glaverbel;Int;30
866;Glaxo Smithkline;UK;30
867;Germanischer Lloyd;Int;9
868;Global Refund;SWI;29
869;Gl Trade;Int;15
870;General Motors;SWI;29
871;Gn Resound;Int;20
872;Godiva;Int;10
873;Goedecke;Int;20
874;Golden Telecom Inc;Int;9
